"","X","hashtags","Freq","Count"
"118",118,"jammuandkashmir",0.00147117062692979,8767
"119",119,"trumpvirus",0.00277419787890992,16532
"120",120,"confinement",0.00154517384883877,9208
"121",121,"coronavirususa",0.00313783729359646,18699
"122",122,"fefsi",0.00126510269834877,7539
"123",123,"isolation",0.0021294804671768,12690
"124",124,"israel",0.00153930057725869,9173
"125",125,"africa",0.00170694052893006,10172
"126",126,"syria",0.00149835548395758,8929
"127",127,"staysafestayhome",0.0023697811786817,14122
"128",128,"coronacrisischarity",0.00125251711639146,7464
"129",129,"shelterinplace",0.0019948986441133,11888
"130",130,"coronavirussa",0.00148694455631628,8861
"131",131,"kashmir",0.00153275607464089,9134
"132",132,"covid19italia",0.00135907504363002,8099
"133",133,"donaldtrump",0.00186753255470533,11129
"134",134,"chinaliedandpeopledied",0.00174687877567459,10410
"135",135,"rajasthan",0.00114025372533226,6795
"136",136,"ventilators",0.00167958786414284,10009
"137",137,"stimuluspackage",0.00131964022016378,7864
"138",138,"southkorea",0.00136612296952611,8141
"139",139,"chinesewuhanvirus",0.00174989931534434,10428
"140",140,"wuhancoronavirus",0.00180678614579138,10767
"141",141,"america",0.00176332393609881,10508
"142",142,"gaza",0.00120385286615653,7174
"143",143,"doctors",0.00164032084843603,9775
"144",144,"covid19ph",0.00140673244730836,8383
"145",145,"california",0.00154248892468788,9192
"146",146,"handhygiene",0.00102966841186736,6136
"147",147,"thailand",0.00127852731910324,7619
"148",148,"new",0.00117985635655793,7031
"149",149,"personalprotectiveequipment",0.00100147670828299,5968
"150",150,"handwashchallenge",0.000998120553094375,5948
"151",151,"bts",0.000996106859981205,5936
"152",152,"australia",0.00165928312525171,9888
"153",153,"lka",0.00140522217747349,8374
"154",154,"malaysia",0.00116122969526111,6920
"155",155,"ohio",0.00116005504094509,6913
"156",156,"together",0.00120939052221775,7207
"157",157,"acnh",0.000979829507316418,5839
"158",158,"slowthespread",0.00111692844677138,6656
"159",159,"icymi",0.00109209289837562,6508
"160",160,"nstnation",0.000971942542623171,5792
"161",161,"19india",0.00157806416968721,9404
"162",162,"moneyforthepeople",0.00114360988052088,6815
"163",163,"g20",0.00116206873405826,6925
"164",164,"odisha",0.00112582225802121,6709
"165",165,"breakthechain",0.0012984964424755,7738
"166",166,"london",0.00156531077997047,9328
"167",167,"uklockdown",0.00156413612565445,9321
"168",168,"maskup",0.000930326218284334,5544
"169",169,"uae",0.00117465431601557,7000
"170",170,"nurses",0.00144247550006712,8596
"171",171,"covid19lagos",0.0010320177204994,6150
"172",172,"vaccine",0.00122466102832595,7298
"173",173,"russianpresident",0.000901798899181098,5374
"174",174,"staysafenigeria",0.00113488387703047,6763
"175",175,"facebook",0.00110333601825748,6575
"176",176,"cybersecurity",0.0013094039468385,7803
"177",177,"climatechange",0.00132618472278158,7903
"178",178,"covid19usa",0.00155591354544234,9272
"179",179,"europe",0.00133574976506914,7960
"180",180,"love",0.00185964559001208,11082
"181",181,"modi",0.00105718888441402,6300
"182",182,"japan",0.00127416431735803,7593
"183",183,"foxnews",0.00139901329037455,8337
"184",184,"yournhsneedsyou",0.000826956638474963,4928
"185",185,"business",0.00190663176265271,11362
"186",186,"covid19us",0.00157605047657404,9392
"187",187,"social",0.00124714726808968,7432
"188",188,"nizamuddin",0.000948785071821721,5654
"189",189,"brexit",0.00109897301651228,6549
"190",190,"world",0.00139884548261512,8336
"191",191,"texas",0.00109175728285676,6506
"192",192,"togetherapart",0.000889045509464358,5298
"193",193,"economy",0.00158175594039468,9426
"194",194,"luzonlockdown",0.000778795811518325,4641
"195",195,"trumpmeltdown",0.000988723318566251,5892
"196",196,"tamilnadu",0.000932675526916365,5558
"197",197,"science",0.00120234259632165,7165
"198",198,"curfew",0.00116659954356289,6952
"199",199,"healthcareheroes",0.00123003087662774,7330
"200",200,"khameneivirus",0.001045106725735,6228
"201",201,"trumpliesamericansdie",0.00158544771110216,9448
"202",202,"masks",0.00120016109544905,7152
"203",203,"ccc",0.000757316418311183,4513
"204",204,"n95",0.000934017988991811,5566
"205",205,"singapore",0.000957175459793261,5704
"206",206,"takeresponsibility",0.000953148073566922,5680
"207",207,"betfair",0.00094005906833132,5602
"208",208,"pelosi",0.000868237347294939,5174
"209",209,"cnn",0.00134363672976238,8007
"210",210,"flu",0.00107178815948449,6387
"211",211,"feverdetectioncamera",0.000735837025104041,4385
"212",212,"exclusive",0.000734158947509733,4375
"213",213,"shaheenbagh",0.000733991139750302,4374
"214",214,"handwashing",0.000973620620217479,5802
"215",215,"socialdistance",0.00136847227815814,8155
"216",216,"animalcrossing",0.000853973687743321,5089
"217",217,"maharashtra",0.00092529198550141,5514
"218",218,"publichealth",0.00142535910860518,8494
"219",219,"distancing",0.00104460330245671,6225
"220",220,"uganda",0.00085783326621023,5112
"221",221,"coronavillains",0.00127265404752316,7584
"222",222,"nationaldoctorsday",0.000852127802389583,5078
"223",223,"wwg1wga",0.00109846959323399,6546
"224",224,"venezuela",0.000790710162437911,4712
"225",225,"ourpresidentbernie",0.000681299503289032,4060
"226",226,"coronaviruschallenge",0.00128406497516445,7652
"227",227,"worldwaterday",0.000818901866022285,4880
"228",228,"sars",0.00127047254665056,7571
"229",229,"rggh",0.000671734461001477,4003
"230",230,"randpaul",0.000801449859041482,4776
"231",231,"coronavirusinsa",0.00105668546113572,6297
"232",232,"nationalguard",0.000663679688548799,3955
"233",233,"gujarat",0.000772083501141093,4601
"234",234,"tuesdaythoughts",0.0011290106054504,6728
"235",235,"msm",0.000848939454960397,5059
"236",236,"bernie",0.000657806416968721,3920
"237",237,"thankyou",0.00106859981205531,6368
"238",238,"coronapandemic",0.00095281245804806,5678
"239",239,"video",0.000907839978520607,5410
"240",240,"quran",0.000647402335884011,3858
"241",241,"coronavirusinnigeria",0.00101204859712713,6031
"242",242,"lockdownsa",0.000871425694724124,5193
"243",243,"ireland",0.000851959994630152,5077
"244",244,"southafrica",0.00086219626795543,5138
"245",245,"gop",0.00120049671096792,7154
"246",246,"putin",0.000741878104443549,4421
"247",247,"stpiindia",0.000636159216002148,3791
"248",248,"trumppressconf",0.000902973553497114,5381
"249",249,"selfisolating",0.000977144583165526,5823
"250",250,"drfauci",0.0008663914619412,5163
"251",251,"tigerking",0.000755806148476306,4504
"252",252,"dogs",0.000779299234796617,4644
"253",253,"trump2020",0.00115317492280843,6872
"254",254,"potus",0.00106121627064035,6324
"255",255,"xijinping",0.000789703315881326,4706
